Hotel Name,Address,Score,Number of reviews,Price,Room type,Star rating,Room view,Swimming pool,Restaurant,Parking,Wheelchair accessibility
Golden Tulip Hail,Hail,6.3,0,"SAR 1,450",Deluxe Double or Twin Room,4.0,no,no,no,yes,yes
Al Muhaidb Al Hada Resort,Al Hada,8.4,785,"SAR 1,332",Economy Double Room,0,no,no,no,yes,no
Holiday Villa Hail,Hail,8.1,0,"SAR 1,770",Standard King Room,4.0,yes,yes,yes,yes,yes
Manazel Al Hamra Apartment 2,Buraydah,7.9,0,"SAR 1,350",Deluxe Double Room,0,no,no,no,yes,no
حياة تاون 3,Umm Lajj,8.4,65,"SAR 1,750",Deluxe Room (2 Adults + 1 Child),3.0,no,no,no,yes,yes
Raoum Inn Khafji Corniche,Al Khafji,8.3,352,"SAR 1,489",Double or Twin Room with Side Sea View,0,yes,yes,yes,yes,yes
Al Ahsa Grand Hotel,Al Hofuf,8.5,0,"SAR 2,010",Junior Suite Twin,5.0,no,no,no,yes,yes
Ewaa Express Hotel - Buraydah,Buraydah,8.2,0,"SAR 1,575",Standard Room,3.0,no,no,no,yes,no
Boudl Al Fakhria,Unayzah,8.8,0,"SAR 1,125",Double Room,0,no,yes,no,yes,no
دايموند Diamond,AlUla,7.8,375,"SAR 2,500",Double or Twin Room with Private Bathroom,0,no,no,no,yes,no
Raoum Inn - Hawtah Bani Tamim,Hotat bani tamim,6.6,183,SAR 596,One-Bedroom Suite,0,yes,no,no,yes,no
Taiba Suites Madinah,"Central Madinah, Al Madinah",8.3,954,"SAR 5,375",Junior Suite,0,no,no,no,yes,yes
Aber Khamis Mushait,Khamis Mushayt,8.6,0,"SAR 1,510",Superior Double Room,3.0,no,no,no,no,yes
فندق ارجان بارك Arjan Park Hotel,Wadi Al Dawasir,9.1,231,"SAR 2,150",One-Bedroom Suite,0,yes,no,no,yes,yes
فندق جيست هاوس,Yanbu,8.8,525,"SAR 3,800",Deluxe King Studio,4.0,yes,no,no,no,yes
Millennium Hail Hotel,Hail,8.4,0,"SAR 1,820",Superior Double Room with King Bed,5.0,no,no,no,no,yes
Raoum Inn Hafr Al Baten,Hafr Al Baten,8.0,0,SAR 766,One-Bedroom Suite,0,yes,no,no,no,yes
Low Light Suites,Al Kharj,7.8,209,"SAR 1,000",Deluxe Double Room,0,no,no,no,no,no
Rabigh Tower Hotel,Rabigh,5.2,216,SAR 761,Double Room,0,yes,no,no,no,no
فندق لمسات نجران,Najran,8.4,202,SAR 655,King Room,2.0,yes,no,no,yes,no
Ewaa Express Hotel - Al Jouf,Sakakah,8.9,752,"SAR 1,485",Standard Double Room,3.0,no,no,yes,yes,no
Our Habitas AlUla,AlUla,9.3,928,"SAR 7,934",Canyon Villa,5.0,no,yes,yes,no,no
Al Farhan Hotel & Suites Hafr Al Batin,Abū Qa‘ar,8.1,572,SAR 630,Deluxe Family Room,3.0,yes,no,yes,yes,no
Bay La Sun Hotel and Marina - KAEC,King Abdullah Economic City,8.2,0,"SAR 3,660",Standard Double Room,5.0,yes,yes,yes,yes,yes
Marina Arar Furnished Apartments,Arar,8.6,0,SAR 925,One-Bedroom Apartment with Living Room,0,no,no,no,yes,no
Karims Hotel,Al Majmaah,8.0,204,"SAR 1,527",Deluxe Twin Room,2.0,yes,no,no,yes,yes
Novotel Jazan,Jazan,8.7,0,"SAR 1,740",Standard Double Room,5.0,yes,yes,yes,yes,yes
Best Western Plus Al Qurayyat City Center,Al Qurayyat,8.7,231,"SAR 1,853",Superior King Room - Non-Smoking,4.0,yes,yes,yes,no,no
Views Hotel & Residences,King Abdullah Economic City,8.5,0,"SAR 4,388",Studio with Courtyard View,0,yes,no,yes,yes,no
Raoum Inn Majmaa,Al Majmaah,6.4,486,SAR 851,Junior Suite,0,no,no,no,yes,no
Golden Bujari Bisha جولدن بوجاري بيشة,Qal'at Bishah,8.6,376,"SAR 1,596",Junior Suite,4.0,yes,no,no,yes,yes
Boudl Majmaa,Al Majmaah,8.1,700,"SAR 1,242",Standard Room With King Bed,0,no,yes,yes,yes,no
Grand Millennium Gizan,Jazan,8.2,0,"SAR 2,600",Deluxe King Bed Room - Non Sea View,5.0,yes,yes,yes,yes,yes
AlMuhaidb Residence Alkhafji,Al Khafji,8.4,0,"SAR 1,405",Superior Double Room,0,no,no,yes,yes,no
Tanuma Aram Hospitality - Hotel Apartments,Tanomah,8.0,937,SAR 978,Studio with Mountain View,3.0,yes,no,yes,yes,yes
Raoum Inn Khafji Southern,Al Khafji,6.0,798,SAR 723,Superior Double Room,0,no,no,no,yes,no
فندق ادوماتو ADOMATo HOTEl,Dawmat al Jandal,8.0,103,"SAR 1,100",One-Bedroom Suite,2.0,no,yes,yes,yes,yes
Raoum Inn Sakaka,Sakakah,7.7,457,"SAR 1,064",Superior Double Room,0,no,no,yes,yes,no
Mirada Gold Jizan - Resort & Private Pools,Jazan,8.4,0,SAR 983,One-Bedroom Villa,5.0,no,no,no,yes,yes
Waves Hotel,Umm Lajj,9.4,860,"SAR 4,400",King Room with Mountain View,5.0,yes,yes,yes,yes,yes
إطلالة الواحة للوحدات السكنية المخدومة,Al Majmaah,8.1,342,SAR 894,Studio,0,yes,no,no,yes,yes
Boudl Mahayel Aseer,Muhayil,8.1,967,"SAR 1,236",Standard Double Room,0,yes,yes,no,yes,no
Raoum Inn Khafji Corniche,Al Khafji,8.3,352,"SAR 1,489",Double or Twin Room with Side Sea View,0,yes,yes,yes,yes,yes
Ramada Hotel & Suites by Wyndham Al Qassim,Al Bukayriyah,8.9,0,"SAR 1,743",King Room - Smoking,5.0,yes,yes,yes,yes,yes
Makarim Palm Hotel,Rabigh,6.9,240,"SAR 1,013",One-Bedroom Apartment,0,yes,no,no,yes,no
Ewaa Express Hotel - Al Jouf,Sakakah,8.9,752,"SAR 1,485",Standard Double Room,3.0,no,no,yes,yes,no
Our Habitas AlUla,AlUla,9.3,928,"SAR 7,934",Canyon Villa,5.0,no,yes,yes,no,no
Al Farhan Hotel & Suites Hafr Al Batin,Abū Qa‘ar,8.1,572,SAR 630,Deluxe Family Room,3.0,yes,no,yes,yes,no
Bay La Sun Hotel and Marina - KAEC,King Abdullah Economic City,8.2,0,"SAR 3,660",Standard Double Room,5.0,yes,yes,yes,yes,yes
Marina Arar Furnished Apartments,Arar,8.6,0,SAR 925,One-Bedroom Apartment with Living Room,0,no,no,no,yes,no
Karims Hotel,Al Majmaah,8.0,204,"SAR 1,575",Deluxe Twin Room,2.0,yes,no,no,yes,yes
Novotel Jazan,Jazan,8.7,0,"SAR 1,740",Standard Double Room,5.0,yes,yes,yes,yes,yes
Best Western Plus Al Qurayyat City Center,Al Qurayyat,8.7,231,"SAR 1,853",Superior King Room - Non-Smoking,4.0,yes,yes,yes,no,no
Views Hotel & Residences,King Abdullah Economic City,8.5,0,"SAR 4,222",Studio with Courtyard View,0,yes,no,yes,yes,no
Raoum Inn Majmaa,Al Majmaah,6.4,486,SAR 851,Junior Suite,0,no,no,no,yes,no
Golden Bujari Bisha جولدن بوجاري بيشة,Qal'at Bishah,8.6,376,"SAR 1,596",Junior Suite,4.0,yes,no,no,yes,yes
Boudl Majmaa,Al Majmaah,8.1,700,"SAR 1,242",Standard Room With King Bed,0,no,yes,yes,yes,no
Grand Millennium Gizan,Jazan,8.2,0,"SAR 2,600",Deluxe King Bed Room - Non Sea View,5.0,yes,yes,yes,yes,yes
AlMuhaidb Residence Alkhafji,Al Khafji,8.4,0,"SAR 1,405",Superior Double Room,0,no,no,yes,yes,no
Tanuma Aram Hospitality - Hotel Apartments,Tanomah,8.0,937,SAR 978,Studio with Mountain View,3.0,yes,no,yes,yes,yes
Raoum Inn Khafji Southern,Al Khafji,6.0,798,SAR 723,Superior Double Room,0,no,no,no,yes,no
فندق ادوماتو ADOMATo HOTEl,Dawmat al Jandal,8.0,103,"SAR 1,100",One-Bedroom Suite,2.0,no,yes,yes,yes,yes
Raoum Inn Sakaka,Sakakah,7.7,457,"SAR 1,064",Superior Double Room,0,no,no,yes,yes,no
Mirada Gold Jizan - Resort & Private Pools,Jazan,8.4,0,SAR 983,One-Bedroom Villa,5.0,no,no,no,yes,yes
Waves Hotel,Umm Lajj,9.4,860,"SAR 4,400",King Room with Mountain View,5.0,yes,yes,yes,yes,yes
إطلالة الواحة للوحدات السكنية المخدومة,Al Majmaah,8.1,342,SAR 894,Studio,0,yes,no,no,yes,yes
Boudl Mahayel Aseer,Muhayil,8.1,967,"SAR 1,236",Standard Double Room,0,yes,yes,no,yes,no
Raoum Inn Khafji Corniche,Al Khafji,8.3,352,"SAR 1,489",Double or Twin Room with Side Sea View,0,yes,yes,yes,yes,yes
Ramada Hotel & Suites by Wyndham Al Qassim,Al Bukayriyah,8.9,0,"SAR 1,743",King Room - Smoking,5.0,yes,yes,yes,yes,yes
Makarim Palm Hotel,Rabigh,6.9,240,"SAR 1,013",One-Bedroom Apartment,0,yes,no,no,yes,no
هابي دريم للشقق المخدومة,Ukaz,7.981994047619047,0,"SAR 1,000",Triple Room,0,no,no,no,no,no
